timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-7.2,3.05,5.71,0.08,0.01,0.04,-7.94,3.74,-4.96,-0.01,-0.11,-0.01,-5.81,5.07,-5.42,0.07,0.14,0.01
20,-7.07,3.25,5.43,-0.01,0.12,0.04,-6.31,3.1,-5.35,0.02,-0.13,0.06,-6.54,5.04,-5.26,0.13,0.15,0.02
40,-7.03,3.06,5.66,0.33,0.0,0.05,-7.45,2.93,-5.15,0.09,-0.11,0.2,-6.52,4.75,-5.17,0.18,0.14,0.18
60,-7.18,2.89,5.72,-0.11,0.12,-0.06,-7.02,3.26,-5.26,0.14,0.01,-0.15,-6.51,4.8,-5.24,0.19,0.18,-0.09
80,-7.05,2.91,5.93,0.24,0.01,-0.1,-7.32,2.8,-5.08,0.27,0.02,0.02,-5.83,4.66,-5.23,0.36,0.23,0.0
100,-7.05,2.99,5.98,0.13,0.06,-0.09,-8.15,3.95,-4.68,0.24,0.01,-0.12,-7.5,5.94,-4.98,0.31,0.26,-0.03
120,-6.96,3.25,5.9,0.09,0.15,-0.0,-7.08,3.96,-4.86,0.01,-0.17,0.2,-7.49,6.07,-4.92,0.13,0.0,0.18
140,-7.03,2.94,5.49,0.18,0.03,-0.01,-6.73,3.06,-5.1,0.13,-0.05,0.01,-6.0,4.53,-5.32,0.22,0.14,0.03
160,-7.03,3.16,5.74,0.07,0.2,-0.0,-7.05,3.55,-5.01,0.11,-0.02,0.04,-6.96,5.47,-5.09,0.23,0.2,0.0
180,-7.06,3.16,6.01,0.16,0.17,0.02,-7.68,3.76,-4.95,0.09,-0.04,0.07,-7.19,5.66,-5.02,0.18,0.18,0.08
200,-7.0,3.16,6.14,0.24,0.04,0.0,-7.96,3.16,-4.89,0.08,-0.08,0.08,-7.47,5.27,-4.8,0.17,0.08,0.08
220,-7.01,3.04,6.1,0.14,-0.04,0.05,-7.69,3.69,-4.72,0.0,-0.21,0.11,-6.4,5.4,-5.03,0.09,0.07,0.09
240,-6.97,2.85,5.8,0.05,0.04,0.07,-7.38,2.67,-5.04,-0.04,-0.16,0.06,-6.51,4.37,-5.01,0.06,0.14,0.08
260,-7.09,2.89,5.76,0.13,-0.01,-0.02,-7.35,2.71,-5.11,0.12,-0.17,0.06,-6.97,4.49,-5.06,0.19,0.05,0.05
280,-7.11,2.89,5.89,0.23,0.08,-0.01,-7.69,3.2,-4.99,0.12,-0.12,0.12,-6.96,5.18,-5.05,0.17,0.08,0.15
300,-7.13,2.82,5.89,0.18,0.05,0.01,-7.4,3.67,-4.87,0.08,-0.15,0.07,-6.62,4.86,-5.1,0.14,0.05,0.07
320,-7.03,2.82,5.91,0.03,0.04,0.0,-7.32,2.77,-5.05,0.04,-0.09,-0.04,-6.37,4.45,-5.07,0.12,0.15,-0.01
340,-6.98,2.84,5.69,-0.06,0.08,-0.01,-7.47,3.61,-4.86,0.04,-0.06,-0.07,-6.65,4.83,-4.99,0.12,0.16,-0.08
360,-6.96,3.1,5.9,-0.08,0.13,-0.01,-7.26,3.25,-4.9,0.05,-0.1,-0.0,-7.23,5.21,-4.95,0.15,0.12,-0.04
380,-7.07,3.01,6.14,0.25,0.06,0.07,-7.77,3.28,-4.9,0.02,-0.16,0.15,-6.33,5.01,-5.09,0.12,0.13,0.15
400,-7.12,2.68,5.8,0.15,-0.07,0.03,-7.26,3.05,-5.04,0.06,-0.08,-0.09,-6.64,4.75,-5.09,0.13,0.15,-0.09
420,-6.95,2.58,5.56,-0.17,0.19,0.03,-6.82,3.17,-4.95,-0.01,0.06,-0.22,-6.4,4.81,-5.05,0.07,0.26,-0.22
440,-6.95,3.14,5.97,-0.15,0.23,-0.02,-7.04,2.97,-5.03,0.07,0.02,-0.15,-7.34,4.77,-4.9,0.14,0.14,-0.13
460,-7.03,3.13,6.21,0.21,0.11,-0.0,-7.99,3.43,-4.81,0.12,-0.07,0.1,-6.97,5.36,-4.94,0.2,0.12,0.07
480,-7.01,2.8,6.14,0.15,-0.01,0.04,-8.21,3.6,-4.56,0.06,-0.1,-0.04,-7.01,5.56,-4.94,0.12,0.11,-0.07
500,-6.85,3.04,6.0,-0.17,0.06,0.05,-7.64,3.72,-4.6,-0.06,-0.17,-0.09,-7.16,5.55,-4.77,-0.05,0.06,-0.06
520,-6.95,3.18,5.92,0.06,-0.07,0.04,-7.23,2.82,-5.09,0.0,-0.22,0.04,-7.07,4.54,-4.97,0.07,0.02,0.07
540,-7.15,2.77,5.51,0.09,-0.02,0.02,-6.37,3.09,-5.2,0.05,-0.09,-0.01,-5.87,4.48,-5.35,0.15,0.15,-0.02
560,-6.94,2.91,5.61,-0.01,0.21,-0.0,-6.96,3.32,-4.97,0.09,-0.09,-0.02,-7.15,5.1,-4.97,0.13,0.12,-0.02
580,-7.09,2.88,6.13,0.26,-0.09,-0.0,-7.61,3.51,-4.8,0.1,-0.15,0.05,-6.87,5.23,-5.03,0.18,0.09,0.06
600,-7.11,2.82,5.85,0.09,-0.02,0.01,-7.53,3.39,-4.77,0.05,-0.11,-0.02,-6.42,5.07,-5.12,0.14,0.13,-0.01
620,-6.94,2.77,5.72,-0.01,0.07,0.01,-7.2,3.27,-4.77,0.03,-0.1,-0.05,-6.85,5.13,-5.03,0.11,0.13,-0.06
