timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,11.08,2.87,1.77,0.54,-0.75,2.21,2.43,1.26,13.01,-1.87,-1.83,0.98,4.74,3.34,10.84,-2.06,-1.6,1.86
20,11.31,3.45,2.23,0.27,-0.92,2.5,2.7,1.68,13.53,-2.16,-1.89,1.01,5.78,4.0,11.29,-2.4,-1.73,1.56
40,11.05,3.54,2.04,0.11,-0.93,2.65,1.0,2.0,13.38,-2.37,-1.99,0.83,7.36,3.05,11.08,-2.7,-1.46,1.73
60,10.73,4.17,2.03,-0.12,-0.88,2.68,2.94,1.79,12.94,-2.5,-1.85,0.46,6.36,3.24,10.69,-2.75,-1.15,1.2
80,10.51,4.61,1.84,-0.29,-0.81,2.62,2.46,1.97,12.53,-2.49,-1.6,0.14,5.89,4.22,10.56,-2.84,-0.95,0.95
100,3.3,9.0,-0.13,-0.34,1.78,1.57,2.26,7.67,4.37,-1.21,2.6,1.07,4.8,6.87,1.05,-0.35,3.21,0.67
120,3.23,9.5,-0.32,-0.1,2.16,1.7,4.37,9.43,4.64,-1.25,2.67,1.34,7.08,7.53,0.79,-0.19,3.19,0.72
140,2.75,9.95,-0.11,0.23,2.68,1.96,5.48,8.35,4.51,-1.25,3.09,1.87,9.59,8.21,0.87,-0.03,3.93,1.18
160,2.77,9.1,0.24,0.83,3.82,2.13,2.55,6.31,4.45,-0.86,3.83,2.07,5.35,6.65,2.37,0.31,4.36,1.59
180,2.18,8.62,1.11,1.06,4.16,1.81,-0.47,6.69,4.26,-0.34,3.51,2.47,0.92,5.89,2.41,0.93,4.36,1.67
200,1.49,8.07,1.58,1.52,3.43,1.85,-0.77,5.38,3.96,-0.19,2.92,2.95,1.87,5.66,2.32,1.18,4.11,2.2
220,1.08,8.94,2.32,1.4,3.22,1.53,-1.91,6.37,4.65,0.13,3.02,2.67,0.68,7.04,2.89,1.48,4.05,1.71
240,0.18,6.09,2.43,0.99,2.43,1.32,-4.05,4.99,3.91,0.02,2.72,1.88,-2.23,6.31,2.16,0.91,3.51,1.29
260,0.14,6.0,2.61,0.3,1.94,0.81,-4.09,5.47,3.81,0.11,2.45,1.2,-1.64,6.92,2.03,0.67,2.75,0.64
280,-0.05,5.68,2.34,-0.23,1.44,0.31,-3.61,5.91,3.52,-0.16,1.87,0.32,-0.65,6.38,1.42,0.28,2.3,-0.14
300,-0.14,6.45,2.44,-0.48,1.56,0.04,-2.58,5.75,3.18,-0.09,1.78,-0.01,0.3,6.08,1.29,0.36,2.27,-0.52
320,-1.5,6.03,2.07,-0.67,-1.13,-0.09,2.3,7.36,4.44,0.24,2.33,-1.2,-0.75,8.77,2.74,0.35,2.66,-1.84
340,0.1,6.39,3.86,1.02,-3.6,0.3,-3.71,9.46,5.51,-0.25,2.12,-0.45,-0.85,9.72,2.21,0.14,2.23,-0.68
