timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-7.45,3.19,4.96,0.1,0.01,-0.0,-2.69,1.68,9.82,0.06,-0.14,0.0,0.73,5.16,8.01,0.13,0.12,0.0
20,-7.41,3.32,4.96,0.06,0.04,-0.02,-2.78,1.64,9.69,0.05,-0.12,0.01,0.66,5.09,7.97,0.14,0.14,0.01
40,-7.39,3.45,5.1,0.1,0.03,0.01,-2.7,1.71,9.84,0.08,-0.13,0.02,0.77,5.22,8.11,0.17,0.1,0.02
60,-7.44,3.31,5.01,0.11,0.02,0.02,-2.72,1.72,9.93,0.07,-0.14,0.02,0.74,5.22,8.15,0.15,0.11,0.02
80,-7.47,3.25,5.01,0.09,0.03,0.01,-2.78,1.64,9.78,0.06,-0.13,0.01,0.78,5.08,8.0,0.15,0.12,0.01
100,-7.43,3.3,5.09,0.1,0.04,0.01,-2.77,1.61,9.87,0.08,-0.15,0.01,0.78,5.15,8.2,0.16,0.09,0.01
120,-7.42,3.22,5.17,0.13,0.02,0.01,-2.77,1.64,9.94,0.09,-0.15,0.01,0.74,5.11,8.18,0.16,0.08,-0.0
140,-7.37,3.35,5.02,0.05,0.05,-0.02,-2.81,1.59,9.9,0.04,-0.13,0.0,0.64,5.14,8.15,0.12,0.12,0.01
160,-7.4,3.44,4.94,0.13,0.01,0.01,-2.77,1.69,9.72,0.08,-0.14,-0.0,0.7,5.11,8.02,0.16,0.1,-0.0
180,-7.37,3.32,5.04,0.1,0.04,0.01,-2.74,1.69,9.84,0.08,-0.14,0.02,0.77,5.17,8.05,0.15,0.1,0.01
200,-7.39,3.3,5.04,0.09,0.05,0.01,-2.67,1.7,9.75,0.06,-0.13,0.02,0.83,5.15,8.1,0.15,0.11,0.02
220,-7.38,3.26,5.03,0.09,0.04,0.0,-2.72,1.65,9.9,0.06,-0.12,0.02,0.75,5.16,8.11,0.14,0.13,0.02
240,-7.41,3.33,4.99,0.07,0.04,-0.0,-2.76,1.58,9.85,0.06,-0.12,0.03,0.71,5.04,8.14,0.14,0.12,0.01
260,-7.4,3.32,5.04,0.11,0.03,0.01,-2.79,1.56,9.86,0.08,-0.14,0.02,0.74,5.08,8.15,0.16,0.09,0.01
280,-7.41,3.28,5.06,0.09,0.03,-0.01,-2.76,1.62,10.03,0.05,-0.14,0.03,0.76,5.12,8.2,0.13,0.1,0.02
300,-7.37,3.32,4.99,0.12,0.02,0.01,-2.72,1.68,9.85,0.08,-0.14,0.0,0.77,5.15,8.02,0.15,0.1,0.0
320,-7.4,3.28,5.03,0.06,0.04,-0.01,-2.82,1.62,9.79,0.03,-0.12,0.02,0.65,5.11,8.05,0.12,0.13,0.02
340,-7.42,3.43,4.97,0.08,0.04,-0.01,-2.75,1.59,9.73,0.07,-0.13,0.0,0.73,5.05,8.02,0.15,0.1,-0.0
360,-7.38,3.29,5.09,0.15,0.03,0.03,-2.66,1.74,9.98,0.12,-0.14,0.01,0.84,5.28,8.07,0.19,0.09,-0.0
380,-7.43,3.29,5.09,0.07,0.02,-0.01,-2.73,1.62,9.9,0.04,-0.13,0.01,0.79,5.15,8.15,0.12,0.12,0.01
400,-7.4,3.33,5.06,0.09,0.03,-0.0,-2.76,1.63,9.84,0.06,-0.13,0.01,0.71,5.1,8.1,0.14,0.11,-0.0
420,-7.41,3.34,4.98,0.14,0.03,0.02,-2.7,1.69,9.85,0.1,-0.14,0.01,0.76,5.19,8.0,0.17,0.08,0.0
440,-7.37,3.28,4.96,0.08,0.03,-0.01,-2.72,1.69,9.9,0.05,-0.13,0.02,0.8,5.17,8.07,0.14,0.12,0.01
460,-7.38,3.35,5.06,0.09,0.04,0.0,-2.79,1.65,9.87,0.06,-0.13,0.0,0.7,5.15,8.11,0.14,0.12,0.0
480,-7.44,3.34,4.98,0.1,0.03,0.01,-2.76,1.66,9.87,0.08,-0.14,0.01,0.78,5.06,8.07,0.16,0.1,-0.0
500,-7.42,3.28,4.97,0.07,0.03,-0.01,-2.83,1.6,9.79,0.03,-0.13,0.03,0.67,5.08,8.13,0.12,0.11,0.01
520,-7.27,3.32,5.04,0.11,0.01,-0.03,-3.13,1.34,10.02,0.05,-0.23,0.04,0.23,4.97,8.52,0.15,-0.03,0.03
540,-7.26,3.26,5.41,0.09,-0.14,-0.14,-3.97,1.83,10.21,-0.26,-0.66,0.41,-1.92,5.86,8.59,-0.2,-0.76,0.28
560,-7.28,2.64,4.63,0.35,0.15,-0.42,-0.58,5.99,9.98,-0.92,-3.16,0.27,-3.49,7.41,8.41,-1.19,-3.66,0.2
580,-6.06,2.32,4.75,0.27,1.25,-0.64,-8.96,1.97,8.86,-0.93,-4.36,-1.08,-6.05,6.78,8.64,-2.65,-4.36,0.92
600,-4.49,5.65,7.67,0.42,1.49,-1.09,-1.62,3.84,3.73,-0.35,-4.36,-1.22,-1.24,8.34,2.75,-0.91,-4.36,1.45
620,-4.87,4.54,7.91,1.02,0.01,-0.25,-6.91,5.39,-1.12,-0.06,-1.49,-0.65,-3.24,7.7,-4.66,-0.03,-1.64,-0.05
640,-4.84,4.26,7.19,0.17,0.52,-0.18,-6.82,6.61,-1.37,-0.1,-0.78,-0.25,-5.43,6.87,-4.83,-0.01,-0.49,0.49
660,-4.85,3.81,7.59,0.11,0.42,-0.05,-8.09,6.5,-1.88,-0.15,-0.67,-0.23,-4.26,5.44,-5.31,-0.09,-0.43,0.27
680,-4.98,3.75,7.76,0.22,0.26,-0.05,-7.56,6.26,-1.93,-0.19,-0.6,-0.09,-5.04,5.62,-5.2,-0.03,-0.35,0.21
700,-4.87,3.6,7.38,0.45,0.11,-0.02,-7.28,4.64,-2.41,0.03,-0.45,-0.06,-5.54,4.8,-5.0,0.14,-0.22,0.25
720,-4.84,3.41,7.6,0.26,0.28,-0.03,-6.81,5.24,-2.44,-0.01,-0.26,0.03,-6.4,5.77,-5.2,0.16,-0.06,0.19
740,-4.48,3.58,7.68,0.19,0.16,-0.04,-8.46,5.64,-2.36,0.04,-0.31,-0.07,-6.95,6.53,-5.1,0.11,-0.14,0.09
760,-4.46,3.74,7.78,0.15,0.11,0.0,-7.64,5.44,-2.47,-0.04,-0.37,-0.01,-6.59,5.49,-5.1,0.06,-0.07,0.08
780,-4.54,3.68,7.68,0.06,0.14,-0.02,-7.05,5.51,-2.52,0.02,-0.33,0.01,-6.27,5.63,-5.26,0.09,-0.12,0.11
800,-4.58,3.51,7.66,0.1,0.08,-0.03,-7.81,5.53,-2.5,0.04,-0.28,0.02,-5.71,5.2,-5.36,0.13,-0.07,0.11
820,-4.58,3.46,7.43,0.19,0.05,-0.01,-6.99,5.64,-2.56,0.07,-0.18,0.03,-5.16,5.72,-5.64,0.14,0.12,0.1
840,-4.48,3.42,7.5,0.13,0.15,0.01,-7.45,5.47,-2.43,0.03,-0.16,0.06,-6.56,5.18,-5.04,0.13,0.12,0.09
860,-4.47,3.53,7.71,0.09,0.18,-0.02,-7.49,5.05,-2.62,0.1,-0.15,0.05,-6.26,5.36,-5.39,0.16,0.04,0.05
880,-4.46,3.5,7.8,0.2,0.01,-0.0,-7.63,5.95,-2.46,0.06,-0.21,0.09,-5.38,5.55,-5.55,0.09,0.08,0.18
900,-4.39,3.48,7.45,0.04,0.2,-0.02,-6.94,4.81,-2.81,0.07,-0.08,-0.07,-6.61,5.25,-5.16,0.23,0.16,-0.12
920,-4.36,3.55,7.92,0.15,0.13,-0.01,-7.75,6.29,-2.38,0.11,-0.21,0.08,-6.41,5.89,-5.45,0.17,0.03,0.11
940,-4.39,3.58,8.09,0.2,-0.12,0.07,-7.89,5.94,-2.43,-0.03,-0.2,0.0,-6.24,5.87,-5.45,0.03,0.07,0.04
960,-4.42,3.4,7.39,-0.02,0.16,-0.0,-6.96,4.38,-2.88,0.05,-0.15,0.0,-5.83,4.61,-5.25,0.15,0.14,0.03
980,-4.44,3.45,7.67,0.23,-0.02,-0.03,-7.33,5.69,-2.55,0.18,-0.13,-0.03,-5.91,5.53,-5.45,0.23,0.12,0.01
1000,-4.4,3.56,7.84,0.1,0.1,0.0,-7.76,6.15,-2.37,0.09,-0.12,-0.05,-6.17,6.06,-5.41,0.16,0.14,-0.04
