timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-1.21,5.4,7.69,0.06,-0.05,0.05,-7.57,5.16,2.66,0.03,-0.21,-0.02,-5.93,6.55,2.24,0.1,0.04,-0.0
20,-1.1,5.58,7.74,0.05,0.02,0.07,-7.54,5.7,3.02,-0.01,-0.12,-0.01,-5.97,7.06,2.46,0.07,0.12,0.01
40,-1.02,5.55,7.92,0.05,0.02,0.1,-7.99,5.74,3.11,-0.05,-0.14,-0.01,-6.11,7.06,2.55,0.03,0.11,0.01
60,-1.15,5.36,8.19,0.01,0.03,0.12,-7.94,5.24,2.93,-0.09,-0.15,-0.02,-6.44,6.7,2.59,-0.0,0.12,0.02
80,-1.19,5.23,8.21,-0.0,0.05,0.12,-8.17,5.05,2.8,-0.08,-0.15,-0.02,-6.54,6.35,2.62,0.01,0.12,0.01
100,-1.18,5.14,8.27,0.02,0.05,0.09,-8.13,4.86,2.77,-0.04,-0.15,-0.01,-6.64,6.3,2.69,0.05,0.11,0.01
120,-1.2,5.09,8.29,0.06,0.03,0.09,-8.32,4.91,2.83,-0.03,-0.17,0.01,-6.71,6.32,2.58,0.05,0.09,0.03
140,-1.24,5.06,8.31,0.12,-0.02,0.06,-8.21,4.81,2.66,0.02,-0.19,0.03,-6.77,6.23,2.55,0.1,0.06,0.05
160,-1.23,5.21,8.31,0.15,-0.0,0.01,-8.39,5.25,2.85,0.07,-0.19,0.06,-6.78,6.65,2.52,0.16,0.06,0.06
180,-1.33,5.26,8.04,0.17,-0.02,0.01,-8.07,4.98,2.58,0.08,-0.2,0.07,-6.6,6.31,2.36,0.18,0.05,0.09
200,-1.36,5.23,8.04,0.18,-0.02,0.0,-7.89,4.91,2.54,0.1,-0.2,0.1,-6.56,6.2,2.31,0.2,0.04,0.11
220,-1.38,5.19,7.79,0.28,-0.01,-0.02,-7.8,5.15,2.55,0.15,-0.19,0.14,-6.2,6.46,2.2,0.25,0.05,0.15
240,-1.23,5.15,7.84,0.2,-0.0,0.01,-8.09,5.37,2.77,0.1,-0.18,0.08,-6.41,6.78,2.36,0.17,0.06,0.09
260,-1.44,5.07,7.69,0.13,-0.06,0.03,-7.73,5.01,2.41,0.03,-0.23,0.04,-6.18,6.11,2.09,0.12,0.03,0.06
280,-1.59,5.05,7.62,0.09,-0.02,0.01,-7.38,4.98,2.32,0.07,-0.18,0.01,-5.94,6.18,1.96,0.14,0.08,0.02
300,-1.46,5.27,7.72,0.1,0.07,-0.0,-7.68,5.26,2.41,0.08,-0.1,0.04,-6.23,6.57,2.17,0.17,0.14,0.04
320,-1.24,5.25,8.09,0.14,0.04,0.05,-8.33,5.39,2.77,0.03,-0.14,0.06,-6.64,6.62,2.46,0.12,0.11,0.07
340,-1.41,5.07,8.17,0.01,0.06,0.04,-8.09,4.92,2.54,0.0,-0.12,-0.03,-6.72,6.29,2.38,0.08,0.14,-0.03
360,-1.36,5.13,8.12,0.08,0.05,0.03,-8.09,4.84,2.56,0.04,-0.15,0.04,-6.64,6.2,2.39,0.13,0.1,0.04
380,-1.36,5.03,8.2,0.14,0.03,0.04,-8.19,5.04,2.67,0.05,-0.14,0.05,-6.64,6.47,2.42,0.14,0.1,0.06
400,-1.37,5.04,8.21,0.12,0.02,0.04,-8.17,5.15,2.71,0.03,-0.15,0.01,-6.52,6.52,2.36,0.12,0.09,0.02
420,-1.4,5.08,8.08,0.06,0.05,0.01,-8.07,4.91,2.52,0.04,-0.13,0.0,-6.59,6.18,2.33,0.12,0.11,-0.0
440,-1.34,5.08,8.1,0.09,0.04,-0.01,-8.19,4.87,2.51,0.08,-0.14,0.04,-6.73,6.29,2.38,0.17,0.1,0.04
460,-1.3,5.16,8.17,0.14,0.02,0.01,-8.13,5.17,2.71,0.08,-0.15,0.06,-6.5,6.56,2.47,0.18,0.09,0.06
480,-1.3,5.13,8.13,0.15,0.01,0.03,-8.2,5.22,2.72,0.05,-0.17,0.03,-6.62,6.59,2.43,0.13,0.07,0.04
500,-1.37,5.15,7.99,0.1,0.0,0.02,-7.92,4.98,2.53,0.06,-0.16,0.01,-6.44,6.25,2.23,0.14,0.08,0.02
520,-1.38,5.15,7.95,0.1,0.01,0.01,-7.87,5.02,2.48,0.06,-0.16,0.03,-6.4,6.34,2.21,0.15,0.08,0.02
540,-1.35,5.22,8.0,0.12,0.0,0.01,-8.18,5.21,2.66,0.08,-0.16,0.02,-6.49,6.45,2.33,0.16,0.08,0.03
560,-1.35,5.25,8.13,0.12,0.03,0.01,-8.0,5.22,2.73,0.06,-0.15,0.02,-6.49,6.62,2.32,0.15,0.09,0.02
580,-1.43,5.19,8.06,0.1,0.03,0.02,-8.15,5.3,2.65,0.05,-0.13,0.0,-6.6,6.58,2.32,0.12,0.1,0.01
600,-1.44,5.06,7.97,0.06,-0.02,0.04,-7.92,4.92,2.51,0.03,-0.18,-0.0,-6.54,6.23,2.22,0.11,0.07,0.0
620,-1.4,5.09,8.02,0.07,0.01,0.0,-7.83,4.94,2.44,0.07,-0.15,0.0,-6.53,6.28,2.32,0.16,0.08,0.01
640,-1.37,5.07,8.12,0.1,0.05,0.01,-8.25,5.18,2.64,0.05,-0.11,0.02,-6.65,6.45,2.39,0.13,0.13,0.02
660,-1.41,5.07,8.07,0.08,0.03,0.02,-8.1,4.87,2.4,0.06,-0.14,0.01,-6.67,6.17,2.25,0.14,0.1,0.01
680,-1.5,4.95,8.04,0.1,0.03,-0.01,-7.82,4.98,2.5,0.08,-0.13,0.01,-6.33,6.34,2.19,0.16,0.09,-0.01
700,-1.42,5.19,8.04,0.03,0.06,-0.03,-7.87,4.98,2.58,0.11,-0.09,-0.02,-6.52,6.47,2.24,0.18,0.14,-0.05
720,-1.53,5.04,7.91,0.01,0.04,-0.01,-8.09,4.75,2.37,0.06,-0.11,-0.05,-6.62,6.04,2.23,0.13,0.11,-0.05
740,-1.45,5.08,7.84,0.03,0.05,-0.04,-7.62,4.86,2.39,0.1,-0.1,-0.03,-6.25,6.19,2.18,0.18,0.12,-0.04
760,-1.32,5.14,7.99,0.06,0.08,-0.03,-8.04,5.25,2.57,0.09,-0.1,-0.03,-6.62,6.6,2.29,0.15,0.13,-0.04
780,-1.44,5.06,7.88,0.08,0.05,-0.02,-7.79,4.87,2.42,0.08,-0.1,-0.03,-6.43,6.24,2.22,0.14,0.11,-0.05
800,-1.42,4.93,7.98,0.05,0.1,-0.06,-8.23,5.02,2.37,0.09,-0.09,-0.04,-6.39,6.13,2.18,0.17,0.13,-0.06
820,-1.32,4.92,8.04,0.04,0.13,-0.1,-8.31,4.79,2.4,0.12,-0.15,-0.08,-8.12,6.72,2.27,0.14,-0.06,-0.12
840,-1.31,5.0,8.26,-0.0,0.1,-0.16,-8.97,4.89,2.56,0.14,-0.27,-0.08,-6.62,6.67,2.35,0.02,-0.27,-0.09
860,-1.29,5.18,8.33,0.1,0.03,-0.13,-8.22,5.13,2.64,0.1,-0.37,-0.03,-7.13,6.56,2.27,0.06,-0.33,-0.02
