timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,0.26,9.74,-2.2,0.09,0.02,0.01,3.52,9.2,1.31,0.05,-0.14,0.02,5.7,8.1,-1.97,0.14,0.1,0.03
20,0.23,9.71,-2.22,0.1,0.01,0.01,3.66,9.24,1.32,0.07,-0.13,0.0,5.76,7.99,-1.96,0.15,0.1,-0.01
40,0.21,9.62,-2.23,0.1,0.0,0.01,3.65,9.23,1.27,0.06,-0.17,0.03,5.74,7.94,-1.97,0.14,0.09,0.03
60,0.25,9.71,-2.29,0.08,0.03,-0.0,3.53,9.33,1.35,0.07,-0.14,-0.01,5.64,8.0,-1.93,0.14,0.09,-0.0
80,0.26,9.71,-2.28,0.1,0.03,0.01,3.62,9.22,1.33,0.06,-0.13,0.01,5.73,8.0,-1.94,0.13,0.11,0.03
100,0.23,9.65,-2.38,0.11,0.03,0.02,3.67,9.12,1.34,0.05,-0.12,0.02,5.76,7.93,-1.96,0.14,0.12,0.01
120,0.22,9.67,-2.19,0.13,0.06,0.0,3.36,9.14,1.29,0.06,-0.13,0.02,5.45,7.95,-1.95,0.16,0.11,0.01
140,0.25,9.62,-2.2,0.1,0.04,-0.01,3.5,9.16,1.26,0.08,-0.14,0.01,5.64,8.05,-1.97,0.16,0.1,0.01
160,0.24,9.68,-2.26,0.11,0.04,0.01,3.62,9.14,1.29,0.07,-0.12,0.01,5.84,7.93,-1.95,0.14,0.12,0.02
180,0.22,9.62,-2.21,0.12,0.04,0.01,3.66,9.13,1.35,0.08,-0.12,0.01,5.74,7.87,-1.95,0.15,0.13,0.01
200,0.25,9.66,-2.27,0.08,0.06,-0.01,3.5,9.25,1.38,0.08,-0.11,0.01,5.57,8.01,-1.96,0.16,0.11,0.0
220,0.26,9.72,-2.22,0.11,0.06,0.0,3.46,9.29,1.31,0.07,-0.14,0.04,5.64,8.04,-1.89,0.16,0.11,0.04
240,0.24,9.65,-2.2,0.14,0.02,0.02,3.42,9.28,1.34,0.05,-0.14,0.01,5.72,8.09,-1.98,0.14,0.12,0.02
260,0.21,9.69,-2.26,0.09,0.05,0.01,3.6,9.11,1.32,0.07,-0.12,-0.0,5.57,7.88,-1.94,0.15,0.11,-0.01
280,0.27,9.71,-2.23,0.07,0.07,0.0,3.52,9.36,1.37,0.07,-0.13,0.01,5.81,8.15,-1.95,0.15,0.1,-0.0
300,0.25,9.68,-2.2,0.15,0.02,0.02,3.55,9.09,1.34,0.06,-0.13,0.03,5.58,7.9,-1.9,0.15,0.11,0.03
320,0.25,9.64,-2.3,0.06,0.06,-0.01,3.63,9.03,1.33,0.08,-0.14,0.01,5.72,7.75,-1.97,0.15,0.11,-0.0
340,0.3,9.59,-2.21,0.09,0.07,-0.01,3.67,9.06,1.35,0.09,-0.13,0.02,5.72,7.82,-1.91,0.17,0.12,0.01
360,0.27,9.6,-2.28,0.13,0.03,-0.02,3.7,9.02,1.33,0.09,-0.12,0.04,5.68,7.71,-1.96,0.18,0.12,0.03
380,0.26,9.76,-2.12,0.08,0.07,-0.03,3.44,9.19,1.35,0.11,-0.12,-0.0,5.54,8.1,-1.93,0.18,0.11,-0.0
400,0.29,9.7,-2.26,0.1,0.02,-0.02,3.61,9.27,1.42,0.08,-0.14,0.02,5.79,8.13,-1.87,0.16,0.1,0.02
420,0.28,9.7,-2.23,0.1,0.01,-0.01,3.67,9.15,1.33,0.09,-0.12,0.01,5.75,7.92,-1.89,0.18,0.11,-0.0
440,0.32,9.76,-2.14,0.03,0.06,-0.02,3.46,9.35,1.45,0.1,-0.09,-0.02,5.7,8.18,-1.86,0.17,0.13,-0.03
460,0.29,9.76,-2.15,0.06,0.04,-0.0,3.43,9.45,1.43,0.06,-0.13,0.01,5.51,8.24,-1.9,0.15,0.1,0.0
480,0.27,9.8,-2.09,0.09,-0.01,0.0,3.47,9.33,1.39,0.06,-0.12,0.01,5.71,8.21,-1.92,0.14,0.11,0.03
