timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-1.93,9.59,0.39,0.11,0.09,-0.0,-0.15,9.92,0.11,0.09,-0.1,0.04,1.4,9.48,-2.77,0.18,0.14,0.03
20,-1.96,9.59,0.61,0.12,0.09,0.02,-0.2,9.89,0.36,0.06,-0.08,0.03,1.43,9.45,-2.68,0.16,0.17,0.01
40,-1.9,9.57,0.6,0.12,0.09,0.02,-0.36,9.81,0.35,0.06,-0.07,0.02,1.13,9.44,-2.5,0.16,0.17,0.01
60,-1.88,9.51,0.79,0.09,0.06,0.0,-0.61,9.74,0.36,0.07,-0.12,0.02,0.98,9.45,-2.52,0.15,0.12,0.0
80,-2.03,9.57,0.64,0.09,0.01,-0.0,-0.38,9.92,0.24,0.06,-0.14,-0.0,1.23,9.51,-2.72,0.13,0.1,0.0
100,-1.85,9.61,0.51,0.07,0.02,-0.01,-0.27,9.77,0.23,0.07,-0.15,-0.0,1.27,9.35,-2.65,0.14,0.09,-0.0
120,-1.84,9.56,0.46,0.08,0.02,-0.0,-0.13,9.81,0.21,0.06,-0.16,0.02,1.43,9.35,-2.65,0.14,0.09,0.01
140,-1.9,9.56,0.37,0.12,0.02,-0.01,0.02,9.64,0.11,0.09,-0.14,0.04,1.54,9.17,-2.8,0.17,0.1,0.01
160,-1.93,9.55,0.38,0.14,0.05,-0.01,-0.04,9.84,0.21,0.1,-0.11,0.03,1.51,9.4,-2.73,0.18,0.13,0.0
180,-1.9,9.6,0.49,0.11,0.05,-0.02,-0.25,9.81,0.11,0.1,-0.12,0.03,1.26,9.38,-2.64,0.19,0.12,0.01
200,-1.92,9.7,0.5,0.14,0.04,-0.0,-0.33,10.12,0.39,0.09,-0.12,0.04,1.37,9.73,-2.61,0.18,0.12,0.01
220,-1.93,9.71,0.59,0.11,0.05,0.0,-0.31,10.04,0.35,0.07,-0.11,0.03,1.34,9.63,-2.62,0.17,0.14,0.02
