timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-3.12,4.18,8.0,0.08,0.05,0.01,-8.35,4.74,-0.17,0.06,-0.1,0.01,-6.47,6.89,-1.36,0.15,0.14,0.0
20,-3.24,4.09,8.16,0.11,0.04,0.02,-8.46,4.6,-0.27,0.06,-0.11,0.03,-6.52,6.8,-1.34,0.14,0.14,0.02
40,-3.18,4.1,8.14,0.07,0.05,-0.02,-8.74,4.8,-0.14,0.09,-0.13,-0.01,-6.65,7.08,-1.34,0.17,0.09,-0.02
60,-3.19,4.17,8.21,0.05,0.06,-0.02,-8.7,4.64,-0.23,0.07,-0.15,0.0,-6.72,6.93,-1.33,0.15,0.08,0.01
80,-3.16,4.18,8.18,0.08,-0.0,-0.01,-8.53,4.79,-0.22,0.07,-0.17,-0.01,-6.45,6.95,-1.35,0.14,0.07,-0.01
100,-3.2,4.24,8.08,0.06,0.05,-0.01,-8.4,4.91,-0.19,0.08,-0.13,-0.01,-6.45,7.0,-1.32,0.16,0.09,-0.01
120,-3.16,4.29,8.18,0.09,0.05,0.0,-8.51,4.8,-0.15,0.08,-0.15,0.02,-6.5,7.02,-1.3,0.15,0.08,0.03
140,-3.16,4.23,8.17,0.12,0.01,0.01,-8.49,4.87,-0.18,0.06,-0.16,0.02,-6.52,7.06,-1.26,0.13,0.08,0.03
160,-3.22,4.19,8.12,0.07,0.01,0.01,-8.44,4.75,-0.27,0.04,-0.16,0.0,-6.45,6.82,-1.31,0.12,0.09,0.0
180,-3.21,4.18,8.03,0.07,0.04,-0.0,-8.45,4.54,-0.29,0.07,-0.15,0.01,-6.53,6.7,-1.36,0.14,0.09,0.01
200,-3.14,4.21,7.97,0.11,0.04,0.0,-8.51,4.78,-0.24,0.08,-0.15,0.03,-6.45,6.99,-1.34,0.15,0.09,0.03
220,-3.21,4.22,8.03,0.09,0.03,0.0,-8.35,4.78,-0.26,0.08,-0.14,0.0,-6.41,6.92,-1.39,0.15,0.09,0.01
240,-3.12,4.27,8.09,0.09,0.03,-0.0,-8.37,4.78,-0.28,0.07,-0.15,0.02,-6.36,6.91,-1.26,0.15,0.09,0.02
260,-3.16,4.24,8.0,0.11,0.03,0.01,-8.44,4.72,-0.2,0.05,-0.13,0.03,-6.43,6.88,-1.32,0.14,0.12,0.02
280,-3.18,4.23,8.1,0.09,0.05,0.0,-8.32,4.68,-0.28,0.07,-0.12,0.01,-6.45,6.85,-1.41,0.16,0.11,0.01
300,-3.18,4.23,8.05,0.1,0.05,0.0,-8.43,4.73,-0.29,0.07,-0.11,0.02,-6.37,6.87,-1.37,0.15,0.11,0.02
320,-3.2,4.24,8.05,0.13,0.04,0.01,-8.52,4.68,-0.28,0.07,-0.12,0.03,-6.39,6.83,-1.3,0.15,0.11,0.03
340,-3.17,4.16,8.17,0.09,0.03,0.01,-8.57,4.7,-0.29,0.05,-0.15,0.02,-6.53,6.77,-1.32,0.13,0.11,0.02
360,-3.18,4.19,8.1,0.08,0.03,0.01,-8.48,4.74,-0.2,0.07,-0.13,0.01,-6.54,6.99,-1.32,0.16,0.12,0.0
380,-3.12,4.19,8.2,0.07,0.04,0.0,-8.62,4.75,-0.23,0.07,-0.14,0.01,-6.72,7.01,-1.29,0.15,0.1,0.01
400,-3.12,4.21,8.09,0.1,0.02,0.01,-8.46,4.75,-0.23,0.07,-0.15,0.02,-6.34,6.9,-1.3,0.14,0.08,0.02
420,-3.13,4.21,8.07,0.13,0.01,0.01,-8.27,4.73,-0.25,0.06,-0.14,0.01,-6.44,6.84,-1.37,0.15,0.11,0.01
440,-3.16,4.16,8.01,0.07,0.07,0.0,-8.44,4.74,-0.23,0.06,-0.12,0.02,-6.39,6.91,-1.34,0.15,0.13,0.0
460,-3.16,4.1,8.23,0.14,0.05,0.01,-8.73,4.65,-0.23,0.07,-0.13,0.04,-6.73,6.95,-1.32,0.15,0.11,0.04
480,-3.11,4.11,8.22,0.12,0.0,0.01,-8.72,4.68,-0.19,0.07,-0.14,0.02,-6.74,6.98,-1.25,0.14,0.09,0.02
500,-3.13,4.2,8.05,0.05,0.02,-0.02,-8.3,4.59,-0.34,0.08,-0.15,-0.01,-6.39,6.72,-1.33,0.16,0.08,-0.02
520,-3.09,4.23,7.94,0.06,0.05,-0.03,-8.26,4.72,-0.23,0.09,-0.12,-0.01,-6.36,6.9,-1.33,0.18,0.1,-0.02
540,-3.17,4.22,8.1,0.1,0.06,-0.0,-8.33,4.69,-0.17,0.07,-0.11,0.02,-6.62,6.94,-1.34,0.15,0.11,0.02
560,-3.09,4.23,8.09,0.11,0.06,-0.0,-8.51,4.71,-0.25,0.07,-0.12,0.02,-6.6,6.89,-1.32,0.15,0.11,0.02
580,-3.21,4.16,8.1,0.11,0.03,-0.0,-8.35,4.73,-0.17,0.08,-0.11,0.02,-6.44,6.86,-1.33,0.17,0.13,0.01
600,-3.18,4.15,8.02,0.1,0.04,0.0,-8.49,4.7,-0.31,0.07,-0.11,0.01,-6.47,6.82,-1.37,0.16,0.13,0.0
620,-3.21,4.19,8.16,0.09,0.09,-0.0,-8.61,4.63,-0.22,0.08,-0.12,0.03,-6.53,6.82,-1.33,0.16,0.11,0.03
640,-3.2,4.16,8.15,0.11,0.03,-0.01,-8.44,4.57,-0.27,0.09,-0.13,0.03,-6.63,6.86,-1.4,0.16,0.1,0.03
660,-3.17,4.21,8.14,0.09,0.04,-0.03,-8.41,4.65,-0.2,0.1,-0.1,0.0,-6.35,6.81,-1.38,0.2,0.12,-0.02
