timestamp,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-1.58,3.47,8.94,0.09,0.04,0.01,-9.16,3.03,0.5,0.07,-0.12,0.01,-8.09,4.96,0.14,0.15,0.12,0.01
20,-1.65,3.51,8.96,0.1,0.03,0.0,-9.14,3.19,0.42,0.07,-0.14,0.02,-7.98,5.04,-0.0,0.15,0.1,0.03
40,-1.68,3.45,8.89,0.09,0.03,-0.0,-9.23,3.12,0.46,0.08,-0.13,0.01,-8.1,5.01,0.02,0.15,0.11,0.01
60,-1.64,3.45,8.83,0.1,0.03,-0.0,-9.0,2.98,0.4,0.08,-0.13,0.03,-7.86,4.77,0.04,0.16,0.11,0.02
80,-1.57,3.57,8.9,0.1,0.02,-0.0,-9.32,3.27,0.56,0.06,-0.14,0.01,-8.1,5.19,0.16,0.15,0.09,0.01
100,-1.66,3.5,8.87,0.07,0.03,0.0,-9.04,3.12,0.4,0.07,-0.13,0.0,-7.92,4.91,0.04,0.15,0.1,0.0
120,-1.62,3.56,8.83,0.09,0.03,-0.01,-9.15,3.16,0.43,0.08,-0.13,0.02,-8.01,4.96,0.08,0.16,0.11,0.02
140,-1.62,3.62,8.94,0.09,0.04,-0.0,-9.21,3.37,0.49,0.07,-0.12,0.01,-8.0,5.23,0.07,0.15,0.12,0.0
160,-1.59,3.55,8.94,0.08,0.03,0.01,-9.27,3.17,0.51,0.06,-0.14,0.0,-8.05,5.07,0.05,0.14,0.1,-0.0
180,-1.61,3.47,8.88,0.11,0.03,0.01,-9.17,3.14,0.38,0.06,-0.14,0.02,-7.96,4.99,0.04,0.14,0.1,0.02
200,-1.62,3.48,8.88,0.08,0.04,0.01,-9.13,3.02,0.47,0.07,-0.14,0.02,-7.97,4.83,0.04,0.14,0.11,0.01
220,-1.64,3.51,8.92,0.11,0.04,-0.0,-9.2,3.2,0.53,0.07,-0.13,0.02,-7.98,5.05,0.14,0.16,0.11,0.02
240,-1.57,3.52,8.96,0.1,0.03,0.01,-9.34,3.15,0.45,0.07,-0.14,0.01,-8.21,5.11,0.18,0.15,0.1,0.02
260,-1.66,3.49,8.89,0.09,0.02,0.01,-9.03,3.08,0.44,0.06,-0.15,0.03,-7.97,4.96,0.05,0.14,0.09,0.03
280,-1.63,3.43,8.85,0.1,0.03,0.0,-9.12,3.1,0.48,0.07,-0.14,0.01,-7.96,4.94,0.05,0.15,0.11,0.01
300,-1.58,3.48,8.98,0.08,0.04,0.0,-9.29,3.12,0.54,0.06,-0.13,0.01,-8.2,5.07,0.07,0.15,0.11,0.01
320,-1.62,3.46,8.85,0.08,0.02,-0.0,-9.09,3.04,0.39,0.06,-0.15,0.01,-8.04,4.92,0.04,0.15,0.09,0.01
340,-1.59,3.47,8.76,0.09,0.02,-0.01,-9.09,3.1,0.35,0.08,-0.13,-0.0,-7.88,4.89,-0.0,0.15,0.09,0.0
360,-1.72,3.45,8.76,0.07,0.05,-0.02,-8.81,3.01,0.31,0.09,-0.11,-0.02,-7.77,4.86,0.01,0.17,0.12,-0.03
380,-1.65,3.61,8.71,0.06,0.07,-0.03,-9.01,3.22,0.43,0.1,-0.1,-0.0,-7.93,5.08,0.01,0.18,0.13,-0.01
400,-1.57,3.69,8.85,0.09,0.05,-0.02,-9.05,3.2,0.46,0.09,-0.13,0.04,-7.91,5.09,0.13,0.18,0.11,0.04
420,-1.51,3.64,8.97,0.11,0.05,-0.0,-9.43,3.41,0.67,0.06,-0.11,0.02,-8.13,5.28,0.2,0.15,0.12,0.01
440,-1.56,3.61,9.01,0.09,0.04,0.01,-9.16,3.24,0.55,0.05,-0.12,0.0,-7.95,5.07,0.09,0.14,0.12,0.0
460,-1.61,3.52,8.98,0.1,0.05,0.01,-9.18,3.17,0.54,0.05,-0.12,0.01,-7.99,5.08,0.15,0.14,0.13,0.0
480,-1.65,3.47,8.89,0.07,0.05,0.01,-9.19,3.03,0.46,0.05,-0.12,0.0,-7.99,4.91,0.08,0.13,0.12,-0.0
500,-1.64,3.4,8.86,0.09,0.05,0.0,-9.04,2.94,0.42,0.06,-0.12,0.02,-8.08,4.79,0.12,0.15,0.12,0.02
520,-1.6,3.45,9.03,0.12,0.03,-0.01,-9.4,3.2,0.57,0.09,-0.13,0.03,-8.22,5.09,0.14,0.17,0.11,0.02
540,-1.65,3.54,8.91,0.06,0.02,0.01,-9.07,3.13,0.43,0.07,-0.15,-0.0,-7.97,5.08,-0.0,0.14,0.09,-0.01
560,-1.63,3.57,8.88,0.07,0.02,0.01,-9.05,3.13,0.42,0.07,-0.15,0.01,-7.92,4.93,0.0,0.14,0.09,0.01
580,-1.6,3.63,8.81,0.1,0.02,0.0,-8.95,3.22,0.46,0.08,-0.13,0.02,-7.86,5.1,0.05,0.16,0.1,0.01
600,-1.58,3.61,8.87,0.1,0.03,0.0,-9.07,3.16,0.53,0.07,-0.14,0.02,-7.95,5.06,0.1,0.16,0.1,0.02
620,-1.53,3.61,8.86,0.1,0.03,0.03,-9.19,3.32,0.64,0.04,-0.14,0.02,-8.02,5.23,0.11,0.13,0.11,0.02
640,-1.57,3.57,8.9,0.11,0.03,0.02,-9.0,3.09,0.46,0.05,-0.13,0.03,-7.85,4.95,0.1,0.14,0.11,0.03
660,-1.56,3.5,8.88,0.11,0.04,0.02,-8.96,3.03,0.49,0.06,-0.13,0.02,-7.84,4.94,0.08,0.14,0.12,0.02
680,-1.61,3.45,8.87,0.1,0.04,0.01,-9.26,3.18,0.47,0.05,-0.12,0.01,-8.08,5.03,0.1,0.13,0.12,0.0
700,-1.58,3.48,8.95,0.07,0.05,0.0,-9.18,3.0,0.51,0.07,-0.12,0.01,-8.06,4.98,0.12,0.15,0.12,0.0
720,-1.55,3.5,9.0,0.09,0.04,0.0,-9.29,3.06,0.51,0.07,-0.13,0.02,-8.18,4.94,0.13,0.15,0.11,0.02
740,-1.59,3.5,8.99,0.1,0.02,0.0,-9.32,3.19,0.47,0.07,-0.15,0.01,-8.11,5.07,0.11,0.14,0.1,0.03
760,-1.61,3.51,8.96,0.07,0.02,-0.01,-9.07,2.92,0.48,0.08,-0.14,0.02,-8.04,4.9,0.08,0.16,0.1,0.01
